Brewery,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
Big Boss Brewing,5,4,0,12,0,3,14,0,175,0,0,21,2,0,6,15,21,9,0,7,0,28,5,5,0,0,0,0,12,3,5,32,24,0,0,0,0,7,4,4,3,0,1,9,9,1,4,3,0,0,0
Crabtree Brewing Company,0,0,0,0,0,0,1,0,0,0,2,1,0,1,15,4,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,1,0,0,0,0,0,0,0,1,0,0,0,0
Horseheads Brewing Inc.,1,0,0,0,0,1,3,0,5,0,0,42,0,0,4,4,1,4,0,0,0,3,1,0,0,1,0,0,1,0,0,17,0,0,0,0,0,3,1,0,0,0,1,1,4,1,0,2,0,0,0
Flying Monkeys Craft Brewery,2,0,0,1,0,1,1,0,0,0,0,5,0,0,1,4,2,0,0,2,0,1,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,2,1,0,0,0,0,3,0,0,0,0,1,0,0
Carton Brewing Company,0,0,0,0,0,0,43,0,0,0,0,15,1,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Ellicottville Brewing Co.,1,0,1,3,0,1,20,3,5,0,0,54,0,0,2,1,0,4,1,11,0,1,0,1,0,0,0,0,4,0,0,31,4,0,1,0,0,3,2,4,1,0,2,2,7,0,2,1,1,1,0
McNeill's Brewery,3,0,0,6,1,49,35,0,13,0,0,82,25,0,5,15,4,33,0,8,3,6,4,6,0,0,0,0,7,4,2,45,7,0,0,1,23,12,2,0,4,0,13,9,132,0,5,10,3,0,0
Breckenridge Brewery,6,16,13,38,1,8,44,5,16,0,10,66,11,0,90,30,47,13,10,86,18,7,27,8,0,1,0,0,99,4,8,160,41,0,3,6,9,75,45,18,26,1,16,34,67,0,28,35,46,3,2
Lake Placid Craft Brewing Company,1,2,2,3,0,5,32,1,5,0,1,96,4,0,9,15,8,24,1,8,1,2,1,3,0,1,0,0,9,0,0,42,10,0,1,0,7,2,2,2,2,0,2,4,29,0,3,4,1,0,0
Climax Brewing Company,0,0,0,0,2,0,43,0,2,0,0,18,1,0,0,2,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,36,5,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
Philadelphia Brewing Company,5,4,3,5,0,1,86,1,9,0,0,16,1,0,8,17,5,6,1,23,0,10,0,3,0,2,0,0,5,0,1,433,8,0,1,0,5,7,2,4,2,0,3,4,20,1,4,7,4,0,1
Fremont Brewing Company,114,3,0,0,0,1,0,0,5,0,0,7,1,2,2,17,0,1,0,5,0,2,0,5,0,0,0,0,6,2,1,2,5,0,0,0,0,26,6,0,0,3,3,6,6,0,0,11,2,2,0
Yards Brewing Co.,10,6,3,11,0,10,155,0,13,0,0,30,4,1,7,22,6,14,2,11,2,11,7,8,0,15,0,0,9,0,2,434,47,0,1,1,2,19,8,2,2,1,6,39,26,2,2,18,4,7,0
Fiddlehead Brewing Company,0,0,0,0,0,1,0,0,0,0,0,2,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0
Lazy Magnolia Brewing Company,9,8,2,25,0,0,13,0,7,0,1,13,2,2,7,10,22,9,1,6,0,18,6,2,0,0,0,0,27,28,16,17,6,0,19,2,1,15,9,0,2,1,2,3,12,0,4,3,1,0,39
Hair of the Dog Brewing Company / Brewery and Tasting Room,81,18,0,31,2,9,22,1,15,0,3,56,3,2,22,159,14,7,3,47,2,12,4,73,0,4,0,2,14,1,4,77,46,3,6,0,4,93,26,6,16,3,13,19,42,2,11,36,14,5,1
Davidson Brothers Restaurant &amp; Brewery,0,0,0,0,0,5,3,0,0,0,0,24,0,0,2,5,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,0,2,0,0,0,1,2,6,0,0,0,1,0,0
Keegan Ales,2,2,3,4,1,1,64,0,3,0,0,140,1,0,3,11,4,22,1,4,0,4,0,4,0,0,0,0,2,1,2,32,11,0,1,0,0,13,4,0,2,0,1,4,15,0,0,3,4,2,0
Arbor Brewing Company,4,2,0,7,0,0,4,0,8,0,1,4,7,0,9,7,3,4,0,42,7,0,6,1,0,1,0,0,4,0,2,34,10,1,0,1,0,33,7,4,1,0,1,5,17,0,5,5,180,0,0
High Point Brewing Company,0,4,0,3,4,2,120,0,3,0,0,55,3,0,7,10,2,8,3,12,2,4,1,3,0,0,0,0,5,0,1,71,6,0,0,0,0,5,2,3,3,0,4,3,10,3,2,2,2,0,0
Dry Dock Brewing Co.,3,6,0,2,2,4,0,0,4,0,0,4,0,2,83,20,4,3,2,2,1,2,1,1,0,0,0,0,7,0,1,6,12,0,2,0,2,19,4,0,3,0,0,3,5,0,5,3,1,0,2
Alpine Beer Company,20,6,0,17,1,10,25,2,5,0,0,67,1,9,21,448,13,7,0,40,1,11,9,10,0,4,0,6,18,5,3,86,32,0,1,1,3,107,13,13,19,2,2,25,46,0,5,27,15,4,0
Church Brew Works,2,3,9,3,0,2,4,0,10,0,0,15,0,0,7,6,6,6,0,31,0,6,3,5,0,2,0,0,0,0,0,179,18,0,2,1,0,14,5,4,1,0,1,7,17,2,1,4,4,0,0
Mother's Brewing Company,0,1,0,0,0,0,2,0,2,0,0,0,0,0,0,1,0,0,6,0,5,0,0,0,0,0,0,0,10,0,0,1,0,0,0,0,0,3,0,1,0,0,0,0,0,0,33,3,3,0,0
"Lion Brewery, Inc.",1,4,3,5,1,1,36,0,13,0,0,45,4,0,8,16,10,16,13,42,2,12,16,7,0,2,0,0,9,2,1,224,11,0,0,1,2,8,5,8,3,2,1,12,20,0,15,10,8,1,0
Sea Dog Brewing Company,5,9,3,28,0,19,24,1,26,0,2,31,10,3,8,30,10,18,6,23,1,7,6,4,0,4,0,0,14,3,4,37,22,0,0,0,4,20,18,9,5,0,33,24,44,0,10,7,8,1,2
Two Brothers Brewing Company,15,38,9,16,0,6,41,0,14,0,3,135,14,3,41,52,16,16,4,145,1,18,21,7,1,3,0,0,30,8,16,97,18,3,0,5,0,714,105,40,4,3,2,15,40,2,23,129,34,4,1
"Shipwrecked Brew Pub, Restaurant and Inn",0,11,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,1,0,0
Ballast Point Brewing Company,10,7,1,29,0,10,48,1,34,0,2,80,9,10,21,406,17,24,1,62,0,32,5,9,0,7,0,2,43,3,6,143,32,0,3,1,12,43,14,8,24,0,3,14,62,1,5,11,15,4,2
Boneyard Beer Company,40,1,0,3,0,0,0,0,0,0,0,3,0,1,0,13,2,0,0,4,0,0,0,32,0,0,0,0,1,1,1,4,3,0,0,0,0,5,0,0,0,0,0,2,1,0,0,2,1,1,0
Mammoth Brewing Company,7,0,0,1,0,5,0,0,2,0,0,5,0,4,3,105,3,1,0,2,1,3,0,4,0,0,0,1,4,0,0,5,1,0,0,0,0,3,0,4,2,1,2,1,8,0,1,2,0,3,0
Stillwater Artisanal Ales,23,16,0,26,0,9,15,0,20,0,1,74,2,0,4,87,22,24,9,15,3,25,13,14,0,13,0,0,26,8,8,135,47,0,13,0,7,41,2,7,14,0,35,66,20,0,17,16,7,2,1
New Belgium Brewing,51,56,3,21,3,1,42,12,54,0,11,41,7,21,112,172,45,9,25,36,26,38,18,46,0,3,0,0,96,20,30,55,47,0,7,13,2,125,54,25,21,9,2,58,26,1,44,98,105,14,3
Societe Brewing Co.,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,32,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,4,0,0,0,0,0,0,1,0,0,1,1,0,0
Rogue Ales,140,86,26,139,9,59,193,8,126,1,13,238,37,32,91,373,108,57,38,208,21,90,76,109,1,15,0,14,156,32,51,406,126,7,43,14,24,129,78,55,44,22,52,97,173,7,55,110,82,26,26
Upright Brewing Company,62,7,0,10,0,3,7,0,6,0,0,28,4,1,7,108,5,9,1,14,0,7,0,112,0,2,0,1,17,2,4,38,14,0,0,0,0,65,8,8,14,6,0,15,11,1,2,16,3,1,1
Beer Works,1,0,0,0,0,8,5,1,3,0,0,10,3,0,4,15,1,10,0,8,0,2,0,2,0,0,0,0,1,0,0,2,10,1,1,0,4,3,0,0,2,2,5,0,86,0,5,1,1,0,0
Beer Valley Brewing Co.,24,1,0,4,1,3,6,0,3,0,0,7,0,8,6,69,5,3,1,1,1,2,0,8,0,0,0,0,1,1,0,21,5,2,1,0,0,4,1,4,6,6,0,1,5,2,5,3,0,0,0
Tommyknocker Brewery,4,30,4,43,0,2,55,0,42,0,10,34,1,5,98,20,42,14,6,72,10,17,8,0,2,4,0,0,39,3,8,127,44,0,31,2,2,50,1,26,6,3,2,26,28,1,37,53,48,1,10
Cathedral Square Brewery,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4,0,0,0,0,0,0,1,0,9,0,0,0,0
Hinterland Brewery Restaurant,4,66,0,4,0,13,8,0,7,0,0,3,0,0,0,5,0,2,0,18,1,0,0,2,0,0,0,0,0,0,0,8,5,0,0,0,0,53,2,8,0,0,1,0,14,0,2,35,1,0,0
Sierra Blanca Brewing Company (Rio Grande),1,0,0,0,0,0,1,2,0,0,0,3,0,0,7,4,0,1,2,2,1,0,0,0,0,0,0,0,10,2,0,2,1,0,0,0,1,0,0,0,5,0,0,2,2,0,1,0,1,0,0
Anchorage Brewing Company,20,7,1,7,0,5,26,0,9,0,0,28,2,3,20,74,12,6,2,13,3,7,8,13,0,0,0,1,5,2,1,37,5,2,3,0,5,34,15,6,0,0,8,7,13,0,7,11,2,1,3
Alameda Brewhouse,31,2,0,1,1,1,0,1,4,0,0,3,0,0,0,10,3,1,1,3,0,1,0,38,0,0,0,0,0,2,0,7,1,0,0,0,0,4,1,1,1,1,0,4,5,1,0,2,1,1,0
Pelican Pub &amp; Brewery,60,4,0,14,0,5,14,0,13,0,0,10,1,0,6,60,8,3,1,18,0,8,3,67,0,5,0,1,3,2,0,16,10,0,1,0,1,34,4,4,6,4,0,6,13,4,7,6,6,1,0
Fulton Beer,1,2,0,0,0,1,0,0,3,0,0,1,0,2,1,4,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,5,1,0,1,0,0,7,1,1,0,1,0,2,0,0,5,98,1,0,0
Summit Brewing Company,6,71,1,20,1,3,34,8,4,2,13,10,4,4,19,20,8,6,9,25,11,2,15,6,1,1,0,0,62,1,2,103,14,0,3,0,1,121,14,51,5,6,2,5,12,0,36,417,21,7,1
Rivertown Brewing Co.,2,1,0,2,0,0,0,2,1,0,0,9,1,0,2,8,3,2,0,136,0,6,34,1,0,0,0,0,1,0,7,7,8,0,0,0,0,13,19,0,0,0,0,4,7,0,2,4,4,0,0
Victory Brewing Company,38,31,19,102,2,29,189,2,65,0,2,219,26,3,44,124,78,52,5,114,4,46,23,16,0,37,0,0,52,8,31,768,111,4,13,2,14,116,50,1,8,6,48,104,151,1,11,51,56,24,3
Logsdon Farmhouse Ales,27,0,0,6,0,1,4,0,4,0,0,12,0,0,2,75,2,2,1,1,0,1,0,24,0,2,0,0,2,1,2,3,5,0,0,0,0,21,5,0,1,0,0,4,8,0,3,5,2,0,0
Shipyard Brewing Co.,19,8,6,131,0,62,55,0,33,0,3,105,29,4,39,137,41,65,11,51,4,18,9,8,0,3,0,0,16,13,10,127,34,1,6,2,15,53,18,22,22,4,94,33,182,4,27,22,14,2,2
Double Mountain Brewery &amp; Taproom,30,5,0,1,0,0,0,0,1,0,0,0,0,0,0,12,1,1,0,0,0,2,0,46,0,0,0,0,1,0,0,12,0,1,0,0,0,1,0,0,0,1,0,2,1,0,0,0,1,1,0
Williamsburg AleWerks,9,15,5,17,0,7,27,0,37,0,0,33,5,1,10,39,14,10,0,29,3,28,5,8,0,5,0,0,12,4,10,141,264,0,11,0,1,43,10,2,5,1,2,36,13,2,4,10,3,0,3
Olde Hickory Brewery,24,12,2,19,0,3,21,1,189,0,0,33,0,0,3,37,28,10,5,23,0,35,11,7,0,10,0,0,9,2,11,38,28,0,2,0,6,56,14,3,2,4,6,9,35,0,5,23,6,2,1
Allagash Brewing Company,37,11,2,34,0,48,86,0,39,0,0,107,18,3,11,173,38,41,5,33,0,31,13,12,0,12,0,1,36,1,10,135,68,1,3,2,11,86,13,4,10,2,67,51,162,6,6,29,23,1,4
